"","title","wins","gg_bpw"
"467","Far From The Madding Crowd (1967)",0,0
"468","Faraway, So Close! (1993)",0,0
"469","Fargo (1996)",0,0
"470","Fatal Attraction (1987)",0,0
"471","Father Goose (1964)",0,0
"472","Father of the Bride Part II (1995)",0,0
"473","Fearless (1993)",0,0
"474","Fences (2016)",1,0
"475","Ferdinand (2017)",0,0
"476","Ferris Bueller's Day Off (1986)",0,0
"477","Fiddler on the Roof (1971)",2,1
"478","Fifty Shades of Grey (2015)",0,0
"479","Finding Nemo (2003)",0,0
"480","Finding Neverland (2004)",0,0
"481","Finian's Rainbow (1968)",0,0
"482","First Man (2018)",1,0
"483","First Monday in October (1981)",0,0
"484","Five Easy Pieces (1970)",1,0
"485","Flags of Our Fathers (2006)",0,0
"486","Flashdance (1983)",2,0
"487","Flight (2012)",0,0
"488","Florence Foster Jenkins (2016)",0,0
"489","Footloose (1984)",0,0
"490","For Love of Ivy (1968)",0,0
"491","For The Boys (1991)",1,0
"492","For Whom The Bell Tolls (1943)",2,0
"493","For Your Eyes Only (1981)",0,0
"494","Ford v Ferrari (2019)",0,0
"495","Forrest Gump (1994)",3,1
"496","Foul Play (1978)",0,0
"497","Four Weddings and a Funeral (1994)",1,0
"498","Foxcatcher (2014)",0,0
"499","Frances (1982)",0,0
"500","Frances Ha (2013)",0,0
"501","Frankie & Johnny (1991)",0,0
"502","Frankie and Alice (2010)",0,0
"503","Freaky Friday (1976)",0,0
"504","Freaky Friday (2003)",0,0
"505","French Connection II (1975)",0,0
"506","Frenzy (1972)",0,0
"507","Frequency (2000)",0,0
"508","Freud (1962)",0,0
"509","Frida (2002)",1,0
"510","Fried Green Tomatoes (1991)",0,0
"511","Friendly Persuasion (1956)",0,0
"512","From Here to Eternity (1953)",2,0
"513","From Noon Till Three (1976)",0,0
"514","From Russia With Love (1964)",0,0
"515","From The Terrace (1960)",0,0
"516","Frost/Nixon (2008)",0,0
"517","Frozen (2013)",0,0
"518","Frozen II (2019)",0,0
"519","Full Metal Jacket (1987)",0,0
"520","Funny Girl (1968)",0,0
"521","Funny Lady (1975)",0,0
"522","Furious 7 (2015)",0,0
"523","Gaby: A True Story (1987)",0,0
"524","Gambit (1966)",0,0
"525","Gandhi (1982)",3,0
"526","Gangs of New York (2002)",2,0
"527","Garbo Talks (1984)",0,0
"528","Gattaca (1997)",0,0
"529","Gentleman's Agreement (1947)",3,1
"530","Georgy Girl (1966)",0,0
"531","Get Out (2017)",0,0
"532","Get Shorty (1995)",1,0
"533","Ghost (1990)",1,0
"534","Ghost World (2001)",0,0
"535","Ghostbusters (1984)",0,0
"536","Ghosts of Mississippi (1996)",0,0
"537","Giant (1956)",0,0
"538","Gigi (1958)",2,0
"539","Gigot (1962)",0,0
"540","Girl With a Pearl Earring (2003)",0,0
"541","Girl, Interrupted (1999)",1,0
"542","Give 'Em Hell, Harry! (1975)",0,0
"543","Give My Regards To Broad Street (1984)",0,0
"544","Gladiator (2000)",3,1
"545","Glengarry Glen Ross (1992)",0,0
"546","Gloria (1980)",0,0
"547","Glory (1989)",1,0
"548","Gnomeo & Juliet (2011)",0,0
"549","Gods and Monsters (1998)",1,0
"550","Going Home (1971)",0,0
"551","Going My Way (1944)",3,1
"552","Gold (2016)",0,0
"553","Gone Baby Gone (2007)",0,0
"554","Gone Girl (2014)",0,0
"555","Good Morning, Vietnam (1987)",1,0
"556","Good Will Hunting (1997)",1,0
"557","GoodFellas (1990)",0,0
"558","Goodbye, Columbus (1969)",0,0
"559","Goodbye, Mr. Chips (1969)",1,0
"560","Gorillas in the Mist: The Adventure of Dian Fossey (1988)",2,0
"561","Gorky Park (1983)",0,0
"562","Gosford Park (2001)",1,0
"563","Grace Is Gone (2007)",0,0
"564","Gran Torino (2008)",0,0
"565","Grand Canyon (1991)",0,0
"566","Grandma (2015)",0,0
"567","Gravity (2013)",1,0
"568","Grease (1978)",0,0
"569","Green Book (2018)",3,1
"570","Green Card (1990)",2,1
"571","Guarding Tess (1994)",0,0
"572","Guess Who's Coming To Dinner (1967)",0,0
"573","Guys and Dolls (1955)",1,1
"574","Gypsy (1962)",0,0
"575","Hacksaw Ridge (2016)",0,0
"576","Hair (1979)",0,0
"577","Hairspray (2007)",0,0
"578","Hannah and Her Sisters (1986)",1,1
"579","Hans Christian Andersen (1952)",0,0
"580","Happiness (1998)",0,0
"581","Happy Feet (2006)",1,0
"582","Happy-Go-Lucky (2008)",1,0
"583","Harlow (1965)",0,0
"584","Harold and Maude (1971)",0,0
"585","Harriet (2019)",0,0
"586","Harry & Tonto (1974)",1,0
"587","Harvey (1950)",1,0
"588","Havana (1990)",0,0
"589","Hawaii (1966)",2,0
"590","Hear My Song (1991)",0,0
"591","Heart Like a Wheel (1983)",0,0
"592","Heaven & Earth (1993)",1,0
"593","Heaven Can Wait (1978)",3,1
"594","Heaven Knows, Mr. Allison (1957)",0,0
"595","Hedda (1975)",0,0
"596","Hedwig and the Angry Inch (2001)",0,0
"597","Hell or High Water (2016)",0,0
"598","Hello, Dolly! (1969)",0,0
"599","Hemingway's Adventures of a Young Man (1962)",0,0
"600","Her (2013)",1,0
"601","Herbie Rides Again (1974)",0,0
"602","Hercules (1997)",0,0
"603","Here Comes The Groom (1951)",0,0
"604","Heroes (1977)",0,0
"605","Hidden Figures (2016)",0,0
"606","High Anxiety (1977)",0,0
"607","High Fidelity (2000)",0,0
"608","High Noon (1952)",3,0
"609","Hilary and Jackie (1998)",0,0
"610","Hitchcock (2012)",0,0
"611","Hoffa (1992)",0,0
"612","Hollywoodland (2006)",0,0
"613","Home Alone (1990)",0,0
"614","Home Before Dark (1958)",0,0
"615","Home of the Brave (2006)",0,0
"616","Honeymoon In Vegas (1992)",0,0
"617","Honky (1971)",0,0
"618","Hook (1991)",0,0
"619","Hoosiers (1986)",0,0
"620","Hope Springs (2012)",0,0
"621","Hope and Glory (1987)",1,1
"622","Hopscotch (1980)",0,0
"623","Hotel Rwanda (2004)",0,0
"624","House of Games (1987)",0,0
"625","House of Sand and Fog (2003)",0,0
"626","Houseboat (1958)",0,0
"627","Howards End (1992)",1,0
"628","Hud (1963)",0,0
"629","Hugo (2011)",1,0
"630","Husbands (1970)",0,0
"631","Husbands and Wives (1992)",0,0
"632","Hush...Hush, Sweet Charlotte (1964)",1,0
"633","Hustle & Flow (2005)",0,0
"634","Hustlers (2019)",0,0
"635","Hyde Park on Hudson (2012)",0,0
"636","I Never Promised You a Rose Garden (1977)",0,0
"637","I Never Sang For My Father (1970)",0,0
"638","I Remember Mama (1948)",1,0
"639","I Want To Live! (1958)",1,0
"640","I'll See You in My Dreams (1952)",0,0
"641","I'm Not There (2007)",1,0
"642","I've Loved You So Long (2008)",0,0
"643","I, Tonya (2017)",1,0
"644","Ice Castles (1979)",0,0
"645","If Beale Street Could Talk (2018)",1,0
"646","If It's Tuesday, This Must Be Belgium (1969)",0,0
"647","If a Man Answers (1962)",0,0
"648","Igby Goes Down (2002)",0,0
"649","Imitation of Life (1959)",1,0
"650","In & Out (1997)",0,0
"651","In America (2003)",0,0
"652","In Bruges (2008)",1,0
"653","In Cold Blood (1967)",0,0
"654","In Country (1989)",0,0
"655","In Her Shoes (2005)",0,0
"656","In the Bedroom (2001)",1,0
"657","In the Heat of the Night (1967)",3,1
"658","In the Line of Fire (1993)",0,0
"659","In the Name of the Father (1993)",0,0
"660","Inception (2010)",0,0
"661","Indiana Jones and The Last Crusade (1989)",0,0
"662","Indiscreet (1958)",0,0
"663","Infinitely Polar Bear (2015)",0,0
"664","Inglourious Basterds (2009)",1,0
"665","Inherent Vice (2014)",0,0
"666","Inherit the Wind - 1960 (1960)",0,0
"667","Inside Daisy Clover (1965)",1,0
"668","Inside Llewyn Davis (2013)",0,0
"669","Interiors (1978)",0,0
"670","Interstellar (2014)",0,0
"671","Interview with the Vampire (The Vampire Chronicles) (1994)",0,0
"672","Into The Wild (2007)",1,0
"673","Into the Woods (2014)",0,0
"674","Intruder In The Dust (1949)",0,0
"675","Invictus (2009)",0,0
"676","Iris (2001)",1,0
"677","Irma La Douce (1963)",0,0
"678","Ironweed (1987)",0,0
"679","Irreconcilable Differences (1984)",0,0
"680","Is Paris Burning? (1966)",0,0
"681","Isadora (1968)",0,0
"682","Isle of Dogs (2018)",0,0
"683","It's A Wonderful Life (1946)",1,0
"684","It's Complicated (2009)",0,0
"685","It's a Mad, Mad, Mad, Mad World (1963)",0,0
"686","Ivanhoe (1952)",0,0
"687","J. Edgar (2011)",0,0
"688","JFK (1991)",1,0
"689","Jackie (2016)",0,0
"690","Jackie Brown (1997)",0,0
"691","Jacknife (1989)",0,0
"692","Jacqueline Susann's Once Is Not Enough (1975)",1,0
"693","Jaws (1975)",1,0
"694","Jerry Maguire (1996)",1,0
"695","Jesus Christ Superstar (1973)",0,0
"696","John Carpenter's Starman (1984)",0,0
"697","John Grisham's The Rainmaker (1997)",0,0
"698","John and Mary (1969)",0,0
"699","Johnny Belinda (1948)",1,1
"700","Jojo Rabbit (2019)",0,0
"701","Joker (2019)",2,0
"702","Jonathan Livingston Seagull (1973)",1,0
"703","Joseph Andrews (1977)",0,0
"704","Joy (2015)",1,0
"705","Judgment at Nuremberg (1961)",2,0
"706","Judy (2019)",1,0
"707","Julia (1977)",2,0
"708","Julie & Julia (2009)",1,0
"709","Junior (1994)",0,0
"710","Juno (2007)",0,0
"711","Kansas City Bomber (1972)",0,0
"712","Kate & Leopold (2001)",1,0
"713","Kazablan (1973)",0,0
"714","Kill Bill (Vol. 1) (2003)",0,0
"715","Kill Bill (Vol. 2) (2004)",0,0
"716","King Kong (2005)",0,0
"717","King Of Kings (1961)",0,0
"718","Kinky Boots (2006)",0,0
"719","Kinsey (2004)",0,0
"720","Kiss Me Goodbye (1982)",0,0
"721","Kiss of the Spider Woman (1985)",0,0
"722","Klute (1971)",1,0
"723","Knives Out (2019)",0,0
"724","Kotch (1971)",1,0
"725","Kramer vs. Kramer (1979)",4,1
"726","Kundun (1997)",0,0
"727","L.A. Confidential (1997)",1,0
"728","La Bamba (1987)",0,0
