"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"123","Dangerous Liaisons (1988)",1988,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"124","Dark Victory (1939)",1939,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"125","Darkest Hour (2017)",2017,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"126","Darling (1965)",1965,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"127","David Copperfield (1935)",1935,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"128","Dead End (1937)",1937,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"129","Dead Poets Society (1989)",1989,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"130","Decision before Dawn (1951)",1951,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"131","Deliverance (1972)",1972,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"132","Disraeli (1929)",1929,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","District 9 (2009)",2009,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"134","Django Unchained (2012)",2012,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"135","Doctor Dolittle (1967)",1967,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
"136","Doctor Zhivago (1965)",1965,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0
"137","Dodsworth (1936)",1936,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"138","Dog Day Afternoon (1975)",1975,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"139","Don't Look Up (2021)",2021,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"140","Double Indemnity (1944)",1944,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
