year_film,year_award,ceremony,category,win,title
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,The Teahouse of the August Moon
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,The King and I
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,The Teahouse of the August Moon
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,The Court Jester
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,The Bad Seed
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,Friendly Persuasion
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,Written on the Wind
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,The Bad Seed
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,Baby Doll
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,The Rainmaker
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,The Teahouse of the August Moon
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,War and Peace
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,Lust For Life
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,Baby Doll
1956,1957,14,Best Director - Motion Picture,TRUE,Baby Doll
1956,1957,14,Best Director - Motion Picture,FALSE,Around the World in 80 Days
1956,1957,14,Best Director - Motion Picture,FALSE,Lust For Life
1956,1957,14,Best Director - Motion Picture,FALSE,Giant
1956,1957,14,Best Director - Motion Picture,FALSE,War and Peace
1956,1957,14,Cecil B. deMille Award,FALSE,Mervyn LeRoy
1956,1957,14,Promoting International Understanding,TRUE,Battle Hymn
1956,1957,14,Promoting International Understanding,FALSE,The Brave One 
1956,1957,14,Promoting International Understanding,FALSE,Friendly Persuasion
1956,1957,14,Promoting International Understanding,FALSE,The King and I
1956,1957,14,Promoting International Understanding,FALSE,The Teahouse of the August Moon
1956,1957,14,Television Achievement,TRUE,Cheyenne
1956,1957,14,Television Achievement,TRUE,Matinee Theatre
1956,1957,14,Television Achievement,TRUE,The Mickey Mouse Club
1956,1957,14,Television Achievement,TRUE,Playhouse 90
1956,1957,14,Television Achievement,TRUE,This Is Your Life
1956,1957,14,Special Achievement Award,FALSE,Dimitri Tiomkin
1956,1957,14,Special Achievement Award,FALSE,Edwin Schallert
1956,1957,14,Special Achievement Award,FALSE,Elizabeth Taylor
1956,1957,14,New Star Of The Year - Actress,TRUE,Baby Doll
1956,1957,14,New Star Of The Year - Actress,TRUE,Giant
1956,1957,14,New Star Of The Year - Actress,TRUE,The Girl Can't Help It
1956,1957,14,New Star Of The Year - Actress,TRUE,Rebel Without a Cause
1956,1957,14,New Star Of The Year - Actress,FALSE,Giant
1956,1957,14,New Foreign Star Of The Year - Actress,TRUE,Taina Elg
